Place-type;Enrollment-year;Name;Birthyear;Married;Marriage-year;Death-year
Statute8;1715;Catharina Maria Marsvin;1708;Yes;1730;1743
Statute8;1715;Charlotte Amalie Offenberg;1709;Yes;1743;1773
Statute8;1715;Hille Wind;1711;No;Unmarried;1771
Statute8;1729;Johanne Henrikke Raben;1722;Unknown;Unknown if married;Unknown
Statute8;1729;Helvig Margretha Raben;1723;Yes;1760;1791
Statute8;1729;Sophie Amalie Raben;1724;Unknown;Unknown if married;1762
Statute8;1730;Marie v. der Maase;1722;Yes;1744;1746
Statute8;1730;Anne Cathrine v. der Maase;1722;Yes;1749;1786
Statute8;1730;Fridericha Conradine v. der Maase;1723;Unknown;Unknown if married;1750
Statute8;1734;Edel Margrethe Gersdorf;1733;Yes;1751;1804
Statute8;1735;Ericha Kirstine Holck;1724;Yes;1743;1744
Statute8;1735;Birgitta Charlotta Holck;1727;Yes;1755;1756
Statute8;1737;Dorthe Øllegaard Rosenkranz;1723;Yes;1751;1786
Statute8;1737;Margrethe Lisbeth Restorff;1734;Yes;1752;1818
Statute8;1737;Kirstine Marie Sehestedt;1729;Yes;1757;1766
Statute8;1737;Sophie Amalie Arenfeld;1728;No;Unmarried;1760
Statute8;1737;Juliane Kirstine Holck;1736;Yes;Unknown year married;1795
Statute8;1737;Baronesse Berthe Sophie v. Bottmar;1727;Unknown;Unknown if married;1771
Statute8;1740;Lucie Hedevig v. Grabow;1738;No;Unmarried;1744
Statute8;1740;Margrethe v. Grabow;1738;No;Unmarried;1741
Statute8;1740;Clara Hedevig v. Grabow;1739;No;Unmarried;1744
Statute8;1740;Øllegaard Christence Rodsten Sehested;1737;Yes;1767;1817
Statute8;1740;Mette Sophia Sehested;1738;Yes;1780;1824
Statute8;1740;Christina Sophia Sehested;1740;No;Unmarried;1745
Statute8;1742;Berthe Kirstine Reez;1739;Yes;1764;1790
Statute8;1742;Maria Elisabeth Adler;1740;Yes;1775;1811
Statute8;1742;Maria Elisabeth Rosenkranz;1741;Yes;1764;1798
Statute8;1742;Wibeke Adler;1742;Yes;1771;1786
Statute8;1743;Anna Margareta Juel;1741;Yes;1759;1761
Statute8;1743;Anne Antonette Giersdorff;1738;Unknown;Unknown if married;1803
Statute8;1743;Edel Sophie Giersdorff;1738;No;Unmarried;1744
Statute8;1743;Mete Benzon Giersdorff;1741;Yes;1756;1757
Statute8;1744;Kirstine Elisabeth Birgitte Juel;1744;Yes;1764;1796
Statute8;1744;Charlotte Elisabeth Haxthausen;1734;Yes;1759;1761
Statute8;1744;Sophie Dorothea Haxthausen;1737;Yes;1757;1758
Statute8;1744;Wilhelmine Juliane Christine Haxthausen;1740;Yes;1757;1763
Statute8;1747;Sophie Amalie Giersdorff;1743;Yes;1769;1801
Statute8;1747;Margreta Giersdorff;1744;Yes;1772;1794
Statute8;1747;Palene Giersdorff;1745;No;Unmarried;1789
Statute8;1749;Anne Margrethe Levezau;1746;Yes;1765;1792
